DATETIME,C,F
2019-08-28 11:50:01.516818,23.0,73.4
2019-08-28 12:00:02.246729,23.0,73.4
2019-08-28 12:10:02.009021,23.0,73.4
2019-08-28 12:20:01.794618,23.0625,73.5125
2019-08-28 12:30:01.514926,22.9375,73.2875
2019-08-28 12:40:02.352264,23.0,73.4
2019-08-28 12:50:02.072645,22.8125,73.0625
2019-08-28 13:00:01.800993,22.875,73.175
2019-08-28 13:10:01.602461,23.0,73.4
2019-08-28 13:20:01.435866,22.8125,73.0625
2019-08-28 13:30:02.148809,22.875,73.175
2019-08-28 13:40:01.880610,22.625,72.725
2019-08-28 13:50:01.666718,22.8125,73.0625
2019-08-28 14:00:01.403480,22.6875,72.8375
2019-08-28 14:10:02.218420,22.8125,73.0625
2019-08-28 14:20:02.038394,22.75,72.95
2019-08-28 14:30:01.976732,22.6875,72.8375
2019-08-28 14:40:01.791299,22.4375,72.3875
2019-08-28 14:50:01.502212,22.375,72.275
2019-08-28 15:00:02.230710,22.25,72.05
2019-08-28 15:10:01.975067,22.3125,72.1625
2019-08-28 15:20:01.795935,22.125,71.825
2019-08-28 15:30:01.527380,22.25,72.05
2019-08-28 15:40:02.293683,22.0625,71.7125
2019-08-28 15:50:01.968385,22.125,71.825
2019-08-28 16:00:01.730144,22.0625,71.7125
2019-08-28 16:10:01.525348,22.125,71.825
2019-08-28 16:20:02.346812,22.125,71.825
2019-08-28 16:30:02.069256,22.0625,71.7125
2019-08-28 16:40:01.867649,22.25,72.05
2019-08-28 16:50:01.628956,22.1875,71.9375
2019-08-28 17:00:01.493750,22.5,72.5
2019-08-28 17:10:02.335542,22.75,72.95
2019-08-28 17:20:02.132884,23.0625,73.5125
2019-08-28 17:30:01.885630,23.0625,73.5125
2019-08-28 17:40:01.692867,23.1875,73.7375
2019-08-28 17:50:01.491293,23.125,73.625
2019-08-28 18:00:02.296430,23.3125,73.9625
2019-08-28 18:10:02.101465,22.75,72.95
2019-08-28 18:20:02.289655,22.8125,73.0625
2019-08-28 18:30:02.043233,22.4375,72.3875
2019-08-28 18:40:01.843705,22.75,72.95
2019-08-28 18:50:01.622853,22.625,72.725
2019-08-28 19:00:02.315935,22.625,72.725
2019-08-28 19:10:02.011188,22.5,72.5
2019-08-28 19:20:01.672670,22.5625,72.6125
2019-08-28 19:30:02.303889,22.375,72.275
2019-08-28 19:40:01.420872,22.5,72.5
2019-08-28 19:50:02.233274,22.375,72.275
2019-08-28 20:00:02.030036,22.4375,72.3875
2019-08-28 20:10:01.848767,22.3125,72.1625
2019-08-28 20:20:01.673428,22.375,72.275
2019-08-28 20:30:01.428876,22.25,72.05
2019-08-28 20:40:02.223629,22.3125,72.1625
2019-08-28 20:50:01.982257,22.1875,71.9375
2019-08-28 21:00:01.737671,22.375,72.275
2019-08-28 21:10:01.558584,22.0625,71.7125
2019-08-28 21:20:01.379720,22.4375,72.3875
2019-08-28 21:30:02.127750,22.375,72.275
2019-08-28 21:40:01.965618,22.625,72.725
2019-08-28 21:50:01.724157,22.3125,72.1625
2019-08-28 22:00:01.495613,22.625,72.725
2019-08-28 22:10:02.291516,22.5,72.5
2019-08-28 22:20:02.120597,22.6875,72.8375
2019-08-28 22:30:01.882017,22.5625,72.6125
2019-08-28 22:40:01.682014,22.6875,72.8375
2019-08-28 22:50:01.455866,22.4375,72.3875
2019-08-28 23:00:02.223848,22.75,72.95
2019-08-28 23:10:02.057739,22.5625,72.6125
2019-08-28 23:20:01.966747,22.6875,72.8375
2019-08-28 23:30:01.761442,22.375,72.275
2019-08-28 23:40:01.539378,22.4375,72.3875
2019-08-28 23:50:02.299025,22.4375,72.3875
2019-08-29 00:00:02.064670,22.125,71.825
2019-08-29 00:10:01.906504,22.25,72.05
2019-08-29 00:20:01.757740,22.25,72.05
2019-08-29 00:30:01.519007,22.0625,71.7125
2019-08-29 00:40:02.321446,22.1875,71.9375
2019-08-29 00:50:02.058121,22.125,71.825
2019-08-29 01:00:01.790024,22.0,71.6
2019-08-29 01:10:01.616680,22.0625,71.7125
2019-08-29 01:20:01.445834,21.9375,71.4875
2019-08-29 01:30:02.161118,22.0625,71.7125
2019-08-29 01:40:02.027985,22.125,71.825
2019-08-29 01:50:01.753881,22.1875,71.9375
2019-08-29 02:00:01.550719,22.1875,71.9375
2019-08-29 02:10:02.361509,22.25,72.05
2019-08-29 02:20:02.231852,22.3125,72.1625
2019-08-29 02:30:02.041530,22.3125,72.1625
2019-08-29 02:40:01.944560,22.3125,72.1625
2019-08-29 02:50:01.714471,22.375,72.275
2019-08-29 03:00:01.525347,22.375,72.275
2019-08-29 03:10:01.340769,22.375,72.275
2019-08-29 03:20:02.142827,22.4375,72.3875
2019-08-29 03:30:01.900270,22.4375,72.3875
2019-08-29 03:40:01.724332,22.4375,72.3875
2019-08-29 03:50:01.489202,22.4375,72.3875
2019-08-29 04:00:02.249043,22.5,72.5
2019-08-29 04:10:02.053014,22.4375,72.3875
2019-08-29 04:20:01.848328,22.5,72.5
